iter;Cost;Best Cost;sim_time;eval_time;valid_runs;kp_pos_x;kp_pos_y;kp_pos_z;kd_pos_x;kd_pos_y;kd_pos_z;kp_or_x;kp_or_y;kp_or_z;kd_or_x;kd_or_y;kd_or_z
145;103.704;11.864;22.7667;22.7667;1;196.852;45.7407;31.0494;68.5802;79.6914;30.9259;79.5093;0.990741;1.97222;19.8769;0.173148;19.6306
146;115.638;11.864;34.4687;34.4687;1;198.951;31.0494;47.8395;58.0864;30.9259;30.3086;72.6389;0.990741;0.990741;18.1528;6.82315;19.6306
147;115.253;11.864;23.8817;23.8817;1;31.0494;66.7284;198.951;52.5309;75.3704;62.4074;0.990741;1.97222;26.5093;0.173148;6.33056;0.419444
148;113.738;11.864;26.4595;26.4595;1;198.951;140.185;33.1481;36.4815;79.0741;41.4198;37.3056;63.8056;0.990741;0.173148;0.173148;0.173148
149;106.465;11.864;63.9837;63.9837;1;144.383;33.1481;196.852;30.3086;30.9259;47.5926;61.8426;35.3426;52.0278;1.65093;13.2269;2.14352
150;18.2912;11.864;69.1923;69.1924;1;196.852;31.0494;196.852;30.3086;30.3086;30.9259;1.97222;1.97222;0.990741;0.173148;0.173148;13.4731
151;101.44;11.864;23.5031;23.5031;1;198.951;64.6296;33.1481;62.4074;79.6914;56.2346;43.1944;0.990741;0.990741;19.6306;11.0102;19.8769
152;98.7092;11.864;24.6149;24.6149;1;196.852;49.9383;87.716;56.8519;30.3086;46.9753;52.0278;44.1759;16.6944;19.8769;8.30093;19.8769
153;129.906;11.864;23.3654;23.3654;1;33.1481;142.284;31.0494;42.037;79.6914;63.0247;28.4722;0.990741;1.97222;0.173148;4.60648;0.419444
154;110.267;11.864;25.4207;25.4207;1;33.1481;31.0494;196.852;30.3086;30.3086;79.6914;1.97222;53.0093;78.5278;0.419444;19.8769;6.57685
155;104.284;11.864;21.0772;21.0772;1;146.481;196.852;33.1481;79.0741;79.0741;79.0741;78.5278;79.5093;78.5278;19.6306;19.6306;19.6306
156;109.137;11.864;30.5237;30.5237;1;198.951;33.1481;47.8395;30.9259;74.7531;30.9259;0.990741;0.990741;0.990741;0.419444;0.419444;0.173148
157;124.058;11.864;36.4537;36.4537;1;31.0494;58.3333;196.852;40.8025;30.3086;62.4074;18.6574;52.0278;78.5278;6.82315;19.8769;19.6306
158;17.3378;11.864;67.223;67.223;1;184.259;33.1481;198.951;30.9259;30.9259;30.9259;1.97222;0.990741;0.990741;0.419444;0.419444;19.8769
159;109.032;11.864;22.8285;22.8285;1;140.185;33.1481;31.0494;79.6914;79.6914;47.5926;4.91667;1.97222;0.990741;19.8769;12.9806;19.8769
160;18.504;11.864;69.8973;69.8973;1;198.951;33.1481;198.951;30.9259;30.9259;30.3086;7.86111;78.5278;52.0278;4.11389;0.419444;2.14352
161;12.4822;11.864;69.991;69.991;1;85.6173;87.716;198.951;30.9259;30.3086;30.9259;0.990741;68.713;77.5463;0.419444;0.419444;0.419444
162;9.95751;9.95751;67.9245;67.9245;1;33.1481;33.1481;196.852;30.9259;30.9259;30.9259;1.97222;1.97222;54.9722;0.419444;1.15833;4.85278
163;11.7597;9.95751;66.8369;66.8369;1;85.6173;33.1481;198.951;30.3086;30.3086;30.3086;8.84259;79.5093;60.8611;0.419444;0.419444;1.89722
164;18.407;9.95751;66.2122;66.2122;1;198.951;33.1481;198.951;30.3086;30.9259;30.3086;7.86111;78.5278;61.8426;2.14352;0.665741;1.89722
165;17.2378;9.95751;67.572;67.572;1;184.259;31.0494;142.284;30.3086;30.3086;30.9259;0.990741;1.97222;1.97222;0.419444;8.05463;6.33056
166;14.7237;9.95751;66.9003;66.9003;1;146.481;31.0494;198.951;30.3086;30.3086;30.3086;1.97222;7.86111;8.84259;0.419444;1.89722;6.57685
167;109.808;9.95751;69.7507;69.7507;1;33.1481;31.0494;198.951;30.9259;30.9259;46.9753;0.990741;0.990741;1.97222;0.173148;7.06944;6.57685
168;107.009;9.95751;66.4907;66.4907;1;64.6296;31.0494;196.852;30.3086;30.3086;47.5926;1.97222;77.5463;77.5463;7.06944;7.06944;0.419444
169;18.4653;9.95751;71.136;71.136;1;198.951;33.1481;196.852;30.9259;30.3086;30.3086;18.6574;53.9907;71.6574;4.85278;7.06944;0.173148
170;12.1755;9.95751;68.5095;68.5096;1;83.5185;31.0494;198.951;30.3086;30.9259;30.9259;26.5093;78.5278;79.5093;17.9065;6.82315;0.419444
171;11.9439;9.95751;69.9097;69.9097;1;85.6173;33.1481;196.852;30.9259;45.7407;30.3086;2.9537;1.97222;0.990741;0.665741;0.173148;0.173148
172;10.2906;9.95751;68.7093;68.7093;1;45.7407;33.1481;196.852;30.9259;30.3086;30.3086;79.5093;53.0093;79.5093;6.57685;7.06944;19.8769
173;18.3016;9.95751;69.9128;69.9128;1;196.852;31.0494;196.852;30.3086;30.9259;30.3086;26.5093;78.5278;35.3426;2.14352;0.173148;6.33056
174;11.8999;9.95751;68.1853;68.1853;1;83.5185;33.1481;196.852;30.3086;30.9259;30.9259;52.0278;51.0463;72.6389;4.85278;0.419444;13.7194
175;15.1476;9.95751;67.5702;67.5702;1;142.284;31.0494;194.753;30.9259;30.9259;30.9259;7.86111;35.3426;34.3611;17.6602;0.419444;19.8769
176;130.084;9.95751;37.1968;37.1968;1;45.7407;64.6296;177.963;30.9259;32.1605;63.0247;25.5278;52.0278;79.5093;0.419444;13.7194;0.419444
177;137.216;9.95751;21.1577;21.1577;1;196.852;171.667;33.1481;67.963;77.2222;75.3704;75.5833;72.6389;57.9167;19.6306;18.1528;13.7194
178;18.2802;9.95751;67.005;67.0051;1;196.852;31.0494;196.852;30.3086;30.9259;30.3086;2.9537;4.91667;54.9722;7.31574;13.4731;19.8769
179;12.3094;9.95751;68.3916;68.3917;1;85.6173;33.1481;182.16;30.3086;34.6296;30.3086;7.86111;1.97222;0.990741;6.33056;0.173148;0.173148
180;104.6;9.95751;37.7176;37.7177;1;47.8395;33.1481;198.951;30.3086;63.642;30.9259;1.97222;28.4722;1.97222;0.173148;0.419444;0.173148
